video_gameLabel,Entities,genre,platform,gameModes,inputDevice
Mega Lo Mania,Q939597,strategy video game,DOS; Sharp X68000; Commodore Amiga; Super Nintendo Entertainment System; Sega Genesis; FM Towns; Atari ST,single-player video game,computer keyboard
Resident Evil 6,Q939806,action-adventure game; third-person shooter,Xbox 360; Nintendo Switch; Microsoft Windows; PlayStation 3,co-op mode; multiplayer video game; single-player video game,
Syphon Filter,Q939837,action-adventure game; third-person shooter,PlayStation; Android; PlayStation 3,single-player video game,touchscreen
A.S.P. Air Strike Patrol,Q939924,shoot 'em up,Super Nintendo Entertainment System,single-player video game,
Shift 2 Unleashed,Q940134,racing video game,PlayStation 3; PlayStation Portable; Xbox 360; iOS; Microsoft Windows,multiplayer video game; single-player video game,gamepad; touchscreen
Chiller,Q940168,light-gun shooter,arcade video game machine; Nintendo Entertainment System,,light gun
La Pucelle: Tactics,Q940320,tactical role-playing game,PlayStation 2; Microsoft Windows,single-player video game,
Retro Game Challenge,Q940720,minigame,Nintendo DS,single-player video game,
The Adventures of Robin Hood,Q940755,fantasy video game; adventure game; role-playing video game,Commodore Amiga; Atari ST; DOS,single-player video game,
Kingdoms of Amalur: Reckoning,Q940775,fantasy video game; video game with LGBT character; action role-playing game; role-playing video game,Xbox 360; Microsoft Windows; PlayStation 3,single-player video game,computer keyboard
Sunset Riders X & Sunset Fingers X for SNES,Q941354,shoot 'em up,arcade video game machine; Super Nintendo Entertainment System; Sega Genesis; Motorola 68000,co-op mode; single-player video game,joystick
Black Crypt,Q880202,role-playing video game,Commodore Amiga,single-player video game,
Q880266,Q880266,business simulation game,Commodore Amiga,single-player video game,joystick
The Black Mirror,Q880417,adventure game; horror literature; point-and-click adventure,Microsoft Windows,single-player video game,computer keyboard
Black Prophecy,Q880477,science fiction video game; space trading and combat game; massively multiplayer online role-playing game,Microsoft Windows,multiplayer video game,joystick
Q880526,Q880526,point-and-click adventure,Microsoft Windows,single-player video game,mouse
Blackthorne,Q880945,action game; science fantasy video game,Game Boy Advance; DOS; Classic Mac OS; Super Nintendo Entertainment System; Sega Genesis; Macintosh operating systems,single-player video game,gamepad; computer keyboard
Blade Runner,Q881018,adventure game; cyberpunk video game,Microsoft Windows,single-player video game,mouse; computer keyboard
Blitzkrieg,Q884508,real-time tactics,macOS; Microsoft Windows,multiplayer video game; single-player video game,mouse; computer keyboard
Blobby Volley,Q884569,indie game; casual game; sports video game,macOS; Android; Microsoft Windows; iOS,single-player video game,mouse; touchscreen
Blockout,Q884654,puzzle video game,DOS; NEC PC-9800 series; arcade video game machine; Classic Mac OS; Atari Lynx; Commodore Amiga; Sega Genesis; Apple IIGS; Commodore 64; Atari ST,multiplayer video game; single-player video game,
Blockland,Q884761,indie game,Microsoft Windows,multiplayer video game; single-player video game,
Blood 'n Guts,Q885063,sports video game,Commodore 64,single-player video game,joystick
Blood,Q885083,first-person shooter,DOS; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,computer keyboard
Bloodwych,Q885249,role-playing video game,Linux; DOS; Amstrad CPC; Commodore Amiga; ZX Spectrum; Commodore 64; Atari ST; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,computer keyboard
Blue Max,Q885764,action game,ZX Spectrum; Commodore 64,single-player video game,
Mario Bros. II,Q886260,action game; platform game,Commodore 64,multiplayer video game,
Blur,Q886391,vehicular combat game; racing video game,Xbox 360; Microsoft Windows; PlayStation 3,multiplayer video game; single-player video game,computer keyboard
Kart Fighter,Q887280,fighting game,Nintendo Entertainment System,multiplayer video game; single-player video game,
Dian Shi Mali,Q887289,casino game,Nintendo Entertainment System,single-player video game,
Somari,Q887292,platform game,Nintendo Entertainment System,single-player video game,
Bobby is Going Home,Q888718,platform game,Atari 2600,single-player video game,joystick
Body Harvest,Q890065,action-adventure game; third-person shooter,Nintendo 64,single-player video game,gamepad
The Song of Saya,Q890707,eroge; visual novel,Android; Microsoft Windows,single-player video game,touchscreen; computer keyboard
The Adventures of Batman & Robin,Q890852,action game,Super Nintendo Entertainment System; Sega Genesis,two-player video game; single-player video game,
Boiling Point: Road to Hell,Q891028,first-person shooter; role-playing video game,Microsoft Windows,single-player video game,computer keyboard
Super Robot Wars UX,Q891706,tactical role-playing game,Nintendo 3DS,single-player video game,
Bone: Out from Boneville,Q892286,adventure game,Microsoft Windows,single-player video game,mouse
Border Down,Q893412,shoot 'em up,arcade video game machine; Dreamcast,single-player video game,joystick
Border Zone,Q893416,interactive fiction,DOS; Classic Mac OS; Commodore Amiga; Commodore 64; Atari ST,single-player video game,computer keyboard
Borderlands 2,Q893422,LGBTI+ related video game; video game with LGBT character; first-person shooter; action role-playing game; looter shooter,Linux; PlayStation 3; macOS; PlayStation Vita; Xbox 360; PlayStation 4; Android; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,gamepad; touchscreen
Borderlands,Q893423,video game with LGBT character; first-person shooter; looter shooter,macOS; Xbox 360; Microsoft Windows; PlayStation 3,co-op mode; multiplayer video game; single-player video game,gamepad
Borrowed Time,Q894168,interactive fiction; adventure game,Classic Mac OS; Commodore 64; DOS,single-player video game,computer keyboard
Bouncing Babies,Q895143,arcade-style video game,DOS,single-player video game,computer keyboard
Bounty Bob Strikes Back!,Q895165,platform game,ZX Spectrum; Commodore 64; Atari 5200,single-player video game,
The Idolmaster,Q896027,life simulation game,arcade video game machine,multiplayer video game; single-player video game,
Braid,Q897376,action-adventure game; indie game; puzzle-platformer,Linux; macOS; Microsoft Windows; PlayStation Portable,single-player video game,game controller
Tenchu: Fatal Shadows,Q898020,stealth game,PlayStation 2,single-player video game,
Cross Channel,Q898066,eroge; visual novel,PlayStation 3; PlayStation Vita; PlayStation 2; Xbox 360; PlayStation Portable; Microsoft Windows,single-player video game,
Gorky 17,Q898171,post-apocalyptic video game; biopunk; tactical role-playing game,Linux; macOS; Microsoft Windows,single-player video game,computer keyboard
Culdcept Second,Q899527,role-playing video game,Dreamcast,multiplayer video game; single-player video game,
Cut the Rope,Q899666,puzzle video game,macOS; iOS; BlackBerry 10; Windows Phone; Android; Microsoft Windows,single-player video game,touchscreen
Final Fantasy V,Q900305,role-playing video game,Game Boy Advance; iOS; Super Nintendo Entertainment System; PlayStation Portable; PlayStation; Android; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,gamepad; touchscreen
Samorost,Q900555,indie game; puzzle video game; art game; graphic adventure game; point-and-click adventure,Linux; macOS; Microsoft Windows,single-player video game,mouse
Puyo Puyo! 15th Anniversary,Q901223,LGBTI+ related video game; puzzle video game,Wii; PlayStation 2; Nintendo DS,multiplayer video game; single-player video game,
Mount & Blade,Q901362,indie game; action role-playing game,Linux; macOS; Microsoft Windows,multiplayer video game; single-player video game,mouse
RollerCoaster Tycoon 3,Q901405,construction and management simulation,macOS; Microsoft Windows; iOS,single-player video game,mouse; touchscreen
Dangerous Dave,Q901627,platform game,DOS,single-player video game,
Imperium Galactica II: Alliances,Q901858,real-time tactics; science fiction video game; 4X,Linux; macOS; iOS; Android; Microsoft Windows,multiplayer video game; single-player video game,touchscreen
Supaplex,Q902612,puzzle video game,Linux; AmigaOS; DOS; macOS; Commodore Amiga; ZX Spectrum; MS-DOS; Atari ST; Microsoft Windows,single-player video game,gamepad; computer keyboard
Jack Bros.,Q903406,action game; halloween video game,Virtual Boy,single-player video game,
Break Dance,Q903569,sports video game,Commodore 64,multiplayer video game; single-player video game,joystick
Breakdown,Q903728,action-adventure game; science fiction video game; first-person shooter; walking simulator,Xbox,single-player video game,gamepad
Desperados: Wanted Dead or Alive,Q904367,real-time tactics,Linux; macOS; Microsoft Windows,single-player video game,mouse
Breed,Q904940,science fiction video game; first-person shooter,Microsoft Windows,multiplayer video game; single-player video game,
EZ2DJ,Q905193,music video game,arcade video game machine,single-player video game,
Neighbours from Hell,Q905308,strategy video game,iOS; Xbox; Nintendo Switch; Nintendo GameCube; Nintendo DS; Android; Microsoft Windows,single-player video game,touchscreen; computer keyboard
Swords of Xeen,Q905839,role-playing video game,DOS,single-player video game,
Molehill Empire,Q905950,browser game,web browser,,computer keyboard
Dirt 3,Q906070,racing video game,macOS; Xbox 360; Microsoft Windows; PlayStation 3,multiplayer video game; single-player video game,
Napoleon: Total War,Q906260,real-time strategy; real-time tactics; turn-based strategy video game,macOS; Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Puyo Puyo Tsu,Q906679,puzzle video game,Classic Mac OS; PlayStation 2; Nintendo Switch; TurboGrafx-16; Super Nintendo Entertainment System; Sega Genesis; PlayStation; Microsoft Windows,multiplayer video game; single-player video game,
Prince of Persia 2: The Shadow and the Flame,Q906895,platform game,DOS; Classic Mac OS; Super Nintendo Entertainment System; Sega Genesis; iOS; Android,single-player video game,game controller; touchscreen; computer keyboard
Metal Gear Solid 2: Sons of Liberty,Q907226,LGBTI+ related video game; video game with LGBT character; cyberpunk video game; action-adventure game; science fiction video game,PlayStation 3; PlayStation Vita; PlayStation 2; Xbox; Xbox 360; Microsoft Windows,single-player video game,DualShock
Special Force,Q907253,first-person shooter,Microsoft Windows,single-player video game,computer keyboard
Delta Force 2,Q907320,first-person shooter; tactical shooter,Microsoft Windows,co-op mode; multiplayer video game; single-player video game,
Empire Earth III,Q907374,real-time strategy,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Racing Lagoon,Q907402,racing video game; role-playing video game,PlayStation,single-player video game,
Tom Clancy's Splinter Cell: Conviction,Q907508,action-adventure game; stealth game,macOS; Xbox 360; Xbox One; iOS; Windows Phone; Android; Microsoft Windows,multiplayer video game; single-player video game,gamepad; touchscreen
Ys III: Wanderers from Ys,Q907618,action role-playing game,MSX; PlayStation 2; TurboGrafx-16; Super Nintendo Entertainment System; Sega Genesis; Nintendo Entertainment System,single-player video game,
Bomberman Land Touch!,Q907736,maze video game; crossover fiction,Nintendo DS,multiplayer video game; single-player video game,
Street Fighter 2010: The Final Fight,Q907744,platform game; science fiction video game,Nintendo 3DS; Nintendo Entertainment System; Wii U,single-player video game,
Vantage Master,Q907782,tactical role-playing game,Microsoft Windows,multiplayer video game; single-player video game,
Caesar III,Q908008,business simulation game; city-building game,Classic Mac OS; Microsoft Windows; Macintosh operating systems,single-player video game,computer keyboard
Summer Days,Q908647,eroge; drama film; visual novel; harem,Microsoft Windows,,
Guilty Gear 2: Overture,Q908804,action-adventure game,Xbox 360; Microsoft Windows,multiplayer video game; single-player video game,
Doom II RPG,Q909016,first-person shooter; role-playing video game,"Java Virtual Machine; Java Platform, Micro Edition; iOS; Windows Mobile; BlackBerry OS",single-player video game,touchscreen
Gradius IV,Q909130,shoot 'em up,arcade video game machine,multiplayer video game; single-player video game,
Strife,Q909219,post-apocalyptic video game; first-person shooter,Linux; DOS; macOS; Nintendo Switch; Microsoft Windows,multiplayer video game; single-player video game,
Symphonic Rain,Q909350,visual novel; music video game,Nintendo Switch; Microsoft Windows,single-player video game,
Silpheed,Q909573,shoot 'em up,DOS; Sega Genesis; Apple IIGS; Sega CD,single-player video game,
Solitaire,Q909627,patience; card video game,Microsoft Windows,single-player video game,
Dreamfall: The Longest Journey,Q909788,adventure game; cyberpunk video game,Xbox; Microsoft Windows,single-player video game,
Ridge Racer 6,Q909812,racing video game,Xbox 360,multiplayer video game; single-player video game,
Moero! Top Striker,Q909912,association football video game; sport,Nintendo Entertainment System,,
Namco Museum Remix,Q910127,action game,Wii,multiplayer video game; single-player video game,Wii Remote
Assault Suits Valken 2,Q910467,platform game,Super Nintendo Entertainment System; PlayStation 2,single-player video game,
Persona 3,Q910889,video game with LGBT character; role-playing video game,PlayStation 3; PlayStation 2; PlayStation 4; Nintendo Switch; Xbox One; PlayStation Portable; Xbox Series X and Series S; Microsoft Windows,single-player video game,DualShock
Fallout 2,Q910938,role-playing video game,macOS; Microsoft Windows,single-player video game,computer keyboard
Final Fantasy IV,Q911226,turn-based Japanese role-playing game; role-playing video game,Game Boy Advance; iOS; PlayStation Portable; Super Nintendo Entertainment System; Nintendo DS; PlayStation; Android; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,gamepad
Farmerama,Q911460,simulation video game; role-playing video game,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
James Bond 007: The Duel,Q911619,action game,Sega Master System; Sega Genesis,single-player video game,game controller
Parodius! From Myth to Laughter,Q911802,shoot 'em up,arcade video game machine; Super Nintendo Entertainment System; TurboGrafx-16; Nintendo Entertainment System,multiplayer video game; single-player video game,joystick
Warriors: Legends of Troy,Q911976,hack and slash,Xbox 360; PlayStation 3,single-player video game,
G Senjō no Maō,Q911998,eroge; visual novel,Microsoft Windows,single-player video game,computer keyboard
NES Open Tournament Golf,Q912286,sports video game,Nintendo Entertainment System,multiplayer video game,
Thunder Force IV,Q912708,shoot 'em up,Sega Genesis,single-player video game,gamepad
Of Orcs and Men,Q912958,role-playing video game,Xbox 360; Microsoft Windows; PlayStation 3,single-player video game,mouse
Viva Piñata,Q913218,life simulation game,Xbox 360; Microsoft Windows,multiplayer video game; single-player video game,
FIFA: Road to World Cup 98,Q913223,association football video game,Nintendo 64; Super Nintendo Entertainment System; Sega Genesis; Game Boy; PlayStation; Sega Saturn; Microsoft Windows,multiplayer video game; single-player video game,gamepad
Unreal Tournament 2004,Q913536,first-person shooter,Linux; macOS; Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Arthur to Astaroth no Nazomakaimura: Incredible Toons,Q942008,puzzle video game,PlayStation; Sega Saturn,single-player video game,
The Feeble Files,Q942162,science fiction video game; adventure game,Linux; macOS; Classic Mac OS; Commodore Amiga; Microsoft Windows,single-player video game,computer keyboard
MediEvil,Q942390,action-adventure game,PlayStation; PlayStation 4,single-player video game,DualShock
Armed and Dangerous,Q942588,adventure game; third-person shooter; first-person shooter,Xbox; Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Spyro 2: Ripto's Rage!,Q942896,platform game,PlayStation; PlayStation Portable,single-player video game,DualShock
Tribes: Aerial Assault,Q943073,first-person shooter,PlayStation 2,multiplayer video game,game controller
Spyro: Year of the Dragon,Q943115,platform game,PlayStation; PlayStation Portable; PlayStation 3,single-player video game,DualShock
Spyro: Enter the Dragonfly,Q943377,platform game,Nintendo GameCube; PlayStation 2,single-player video game,gamepad
Spyro: A Hero's Tail,Q943546,platform game,Nintendo GameCube; Xbox; PlayStation 2,single-player video game,DualShock 2; Xbox controller; Nintendo GameCube controller
Special Operation 85: Hostage Rescue,Q943549,first-person shooter,Microsoft Windows,single-player video game,computer keyboard
Spyro: Shadow Legacy,Q943787,platform game,Nintendo DS,single-player video game,
Hostile Waters: Antaeus Rising,Q943849,strategy game; indie game; science fiction video game,Microsoft Windows,single-player video game,computer keyboard
Gran Turismo,Q944320,racing video game,PlayStation,multiplayer video game; single-player video game,
Japan Pro Golf Tour 64,Q944401,golf video game,Nintendo 64,,
MediEvil 2,Q944463,action-adventure game; hack and slash,PlayStation,single-player video game,DualShock
Fable,Q944752,video game with LGBT character; action role-playing game,macOS; Xbox; Microsoft Windows; Xbox 360,single-player video game,gamepad
Shin Megami Tensei: Devil Survivor,Q945187,tactical role-playing game,Nintendo DS,single-player video game,
Call of Cthulhu: Dark Corners of the Earth,Q945340,survival horror,Xbox; Microsoft Windows,single-player video game,gamepad
Wave Race: Blue Storm,Q945371,racing video game,Nintendo GameCube,multiplayer video game; single-player video game,gamepad
Assault Rigs,Q945697,action game,PlayStation; Microsoft Windows,multiplayer video game; single-player video game,
Aliens vs. Predator: Extinction,Q945822,real-time strategy,Xbox; PlayStation 2,multiplayer video game; single-player video game,
Spy vs. Spy,Q945899,action-adventure game,Atari ST; MSX; Amstrad CPC; PlayStation 2; Xbox; Acorn Electron; Commodore Amiga; Game Boy; iOS; ZX Spectrum; Commodore 64; Sega Master System; Nintendo Entertainment System; Game Boy Color,multiplayer video game; single-player video game,touchscreen
Krater,Q945991,post-apocalyptic video game; role-playing video game,macOS; Microsoft Windows,single-player video game,
RPM Tuning,Q946149,racing video game,PlayStation 2; Xbox; Microsoft Windows,single-player video game,
Richard Burns Rally,Q946557,sim racing,PlayStation 2; Xbox; Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Max Payne 2: The Fall of Max Payne,Q946795,third-person shooter; neo-noir,PlayStation 2; Xbox; Microsoft Windows,single-player video game,computer keyboard
Doraemon: Giga Zombie no Gyakushū,Q947239,role-playing video game,Nintendo Entertainment System,single-player video game,
Alchemy,Q947275,puzzle video game,macOS; Microsoft Windows,single-player video game,
Revelations: Persona,Q947420,role-playing video game,Microsoft Windows,single-player video game,
Serious Sam: The First Encounter,Q948180,first-person shooter,Xbox; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,
Captain America and The Avengers,Q948387,beat 'em up,Game Gear; arcade video game machine; Super Nintendo Entertainment System; Sega Genesis; Game Boy; Nintendo Entertainment System,co-op mode; single-player video game,joystick
The Sims Castaway Stories,Q948821,life simulation game,macOS; Microsoft Windows,single-player video game,mouse; computer keyboard
Guitar Hero: Warriors of Rock,Q949134,rhythm game,Wii; Xbox 360; PlayStation 3,co-op mode; multiplayer video game; single-player video game,
Worms 3D,Q949730,strategy video game; artillery game,macOS; PlayStation 2; Xbox; Nintendo GameCube; Microsoft Windows,multiplayer video game; single-player video game,gamepad; mouse; computer keyboard
Planetarium Football Star,Q949837,association football video game,personal computer,,
Trojan,Q950084,post-apocalyptic video game; hack and slash,arcade video game machine; DOS; Nintendo Entertainment System; PlayStation 3,,
Howrse,Q950106,simulation video game,web browser; Android; iOS,single-player video game,touchscreen; computer keyboard
River Patrol,Q950338,action game,Zilog Z80; Atari 2600,single-player video game,joystick
International Superstar Soccer 3,Q950510,association football video game,PlayStation 2; Nintendo GameCube; Microsoft Windows,multiplayer video game; single-player video game,gamepad
Crusader: No Remorse,Q950846,action game; science fiction video game; indie game; cyberpunk video game,DOS; macOS; PlayStation; Sega Saturn; Microsoft Windows,single-player video game,computer keyboard
Daigasso! Band Brothers,Q950855,music video game,Nintendo DS,multiplayer video game; single-player video game,
Total Annihilation,Q951384,real-time strategy; science fiction video game,Classic Mac OS; Microsoft Windows; Macintosh operating systems,multiplayer video game; single-player video game,computer keyboard
The Sims Bustin' Out,Q951415,life simulation game; social simulation game,Game Boy Advance; Xbox; PlayStation 2; Nintendo GameCube; N-Gage,multiplayer video game; single-player video game,
No More Heroes 2: Desperate Struggle,Q951568,action-adventure game,Wii; Nintendo Switch,single-player video game,Wii Remote
SCANDAL,Q952602,,PlayStation 2,,
Knights and Merchants: The Peasants Rebellion,Q952964,real-time strategy,Microsoft Windows,multiplayer video game; single-player video game,
Zendoku,Q953035,sudoku video game,Nintendo DS,multiplayer video game; single-player video game,
Advance Wars,Q953229,turn-based tactics,Game Boy Advance; Wii U,hotseat; multiplayer video game; single-player video game,
Clock Tower,Q953511,psychological horror; survival horror; point-and-click adventure,Super Nintendo Entertainment System; Wii; Wii U; PlayStation Portable; WonderSwan; PlayStation; Microsoft Windows,single-player video game,gamepad
WWE SmackDown vs. Raw 2011,Q953541,professional wrestling,PlayStation 3; Xbox 360; PlayStation 2; Wii; PlayStation Portable,multiplayer video game; single-player video game,gamepad
They Stole a Million,Q953581,strategy video game,ZX Spectrum; Commodore 64; Amstrad CPC,single-player video game,joystick
Def Jam Vendetta,Q953855,professional wrestling; sports video game,Nintendo GameCube; PlayStation 2,multiplayer video game; single-player video game,
F-Zero: Maximum Velocity,Q953869,racing video game,Game Boy Advance,multiplayer video game; single-player video game,
Alien Trilogy,Q953890,science fiction video game; first-person shooter,PlayStation; Sega Saturn; DOS,single-player video game,
Worms Armageddon,Q953922,strategy video game; turn-based strategy video game; artillery game,Dreamcast; Nintendo 64; Commodore Amiga; PlayStation; Microsoft Windows; Game Boy Color,multiplayer video game; single-player video game,gamepad; mouse; computer keyboard
Operation Flashpoint: Cold War Crisis,Q953953,simulation video game; first-person shooter; tactical shooter,macOS; Linux; Xbox; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,gamepad; mouse; computer keyboard; joystick
Might and Magic II: Gates to Another World,Q953963,science fantasy video game; role-playing video game,DOS; Classic Mac OS; MSX; Commodore Amiga; Super Nintendo Entertainment System; Sega Genesis; Commodore 64,single-player video game,
Ever 17: The Out of Infinity,Q954766,science fiction video game; visual novel,Dreamcast; PlayStation 2; Xbox 360; iOS; Android; Microsoft Windows,single-player video game,touchscreen; computer keyboard
Terminal Velocity,Q955289,science fiction video game; simulation video game,DOS; macOS; Classic Mac OS; iOS; Android; Microsoft Windows,multiplayer video game; single-player video game,joystick; mouse; touchscreen; computer keyboard
Space Quest IV,Q955755,adventure game,Classic Mac OS; Commodore Amiga; DOS; Microsoft Windows,single-player video game,computer keyboard
The Lawnmower Man,Q956155,action game,Classic Mac OS; Super Nintendo Entertainment System; Sega Genesis; Nintendo Entertainment System,single-player video game,
Ghosts 'n Goblins,Q956303,platform game,Game Boy Advance; PlayStation 3; Atari ST; Amstrad CPC; Commodore Amiga; ZX Spectrum; Commodore 64; Nintendo Entertainment System; Game Boy Color,single-player video game,joystick
Spirit Camera: The Cursed Memoir,Q956903,psychological horror,Nintendo 3DS,single-player video game,
Professor Layton vs. Ace Attorney,Q957410,adventure game; visual novel; crossover fiction,Nintendo 3DS,single-player video game,touchscreen
Crazy Machines 2,Q957625,puzzle video game,Microsoft Windows,single-player video game,
Asterix & Obelix,Q957870,platform game,Super Nintendo Entertainment System; Microsoft Windows,multiplayer video game; single-player video game,
Risk II,Q958190,turn-based strategy video game,Classic Mac OS; Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Age of Wonders: Shadow Magic,Q958568,turn-based strategy video game,Microsoft Windows,multiplayer video game; single-player video game,
Secret of Evermore,Q958761,action role-playing game; science fantasy video game,Super Nintendo Entertainment System,single-player video game,gamepad
Kirby: Squeak Squad,Q959102,platform game,Nintendo DS,multiplayer video game; single-player video game,
The Matrix Online,Q959892,massively multiplayer online role-playing game,Microsoft Windows,multiplayer video game,
Darkmere,Q960288,action-adventure game,Commodore Amiga,single-player video game,
James Pond: Underwater Agent,Q960337,platform game,Commodore Amiga; Atari ST; Acorn Archimedes; Sega Genesis,single-player video game,
Jak 3,Q960458,platform game; cyberpunk video game,PlayStation Vita; PlayStation 4; PlayStation 2; PlayStation 3,single-player video game,DualShock 2
Ape Escape,Q960773,platform game,PlayStation; PlayStation Portable,multiplayer video game; single-player video game,DualShock
Sleeping Dogs,Q960786,third-person shooter,PlayStation 3; macOS; Xbox 360; PlayStation 4; Xbox One; Microsoft Windows,single-player video game,gamepad
Team Buddies,Q960854,strategy game,PlayStation,multiplayer video game; single-player video game,game controller
Starhawk,Q961171,science fiction video game; third-person shooter,PlayStation 3,multiplayer video game; single-player video game,
R-Type Final,Q961506,science fiction video game; shoot 'em up,PlayStation 2,single-player video game,
Duke Nukem Forever,Q962129,science fiction video game; first-person shooter,macOS; Xbox 360; Microsoft Windows; PlayStation 3,multiplayer video game; single-player video game,mouse
Spec Ops: The Line,Q962443,third-person shooter,Linux; PlayStation 3; macOS; Xbox 360; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,gamepad; mouse; computer keyboard
Second Sight,Q962645,action-adventure game,PlayStation 2; Nintendo GameCube; Xbox; Microsoft Windows,single-player video game,mouse
Dark Sector,Q963189,post-apocalyptic video game; third-person shooter,Xbox 360; Microsoft Windows; PlayStation 3,multiplayer video game; single-player video game,computer keyboard
Nobunaga's Ambition: Bushou Fuunroku,Q963231,grand strategy wargame,TurboGrafx-16; PlayStation; Sega Genesis; Microsoft Windows,single-player video game,
Bonka,Q963553,platform game,Dragon 32/64,,
Emlyn Hughes International Soccer,Q964120,association football video game,Amstrad CPC; Commodore Amiga; ZX Spectrum; Commodore 64; Atari ST,multiplayer video game; single-player video game,
Warlords Battlecry II,Q964164,real-time strategy; role-playing video game,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
Sexy Parodius,Q964295,shoot 'em up,arcade video game machine,multiplayer video game; single-player video game,joystick
WWF SmackDown! 2: Know Your Role,Q964374,fighting game; professional wrestling,PlayStation,multiplayer video game; single-player video game,gamepad
Lego Pirates of the Caribbean,Q964473,action-adventure game,PlayStation 3; macOS; Nintendo DS; Xbox 360; PlayStation Portable; Wii; iOS; Microsoft Windows,co-op mode; multiplayer video game; single-player video game,computer keyboard
Urban Reign,Q964925,beat 'em up,PlayStation 2,co-op mode; multiplayer video game; single-player video game,
The Legend of Zelda: Four Swords Adventures,Q964997,action-adventure game,Nintendo GameCube,co-op mode; multiplayer video game; single-player video game,
Operation 7,Q965035,first-person shooter,Microsoft Windows,online game,mouse
Alien Breed,Q965458,action game; science fiction video game,DOS; PlayStation 3; PlayStation Vita; Commodore Amiga; iOS; Android,co-op mode; single-player video game,touchscreen; joystick
Midtown Madness 2,Q965719,racing video game,Microsoft Windows,multiplayer video game; single-player video game,gamepad
X-COM: Terror from the Deep,Q966207,strategy video game; science fiction video game,PlayStation; 3DO Interactive Multiplayer; DOS; Microsoft Windows,single-player video game,mouse
Evolution: The Game of Intelligent Life,Q966511,real-time strategy; educational video game; life simulation game,Microsoft Windows,multiplayer video game; single-player video game,
The Legend of Heroes: Trails of Cold Steel,Q966698,role-playing video game,PlayStation 3; PlayStation Vita; Nintendo Switch; PlayStation 4; Microsoft Windows,single-player video game,
From Dust,Q967424,god game,Xbox 360; PlayStation Portable; Microsoft Windows; PlayStation 3,single-player video game,computer keyboard
Angelique Etoile,Q967563,otome game; visual novel,PlayStation 2; Microsoft Windows,single-player video game,
Rise of Nations: Rise of Legends,Q967634,real-time strategy; science fantasy video game,Microsoft Windows,multiplayer video game; single-player video game,
Alone in the Dark,Q967889,survival horror,PlayStation 3; PlayStation 2; Xbox 360; Wii; Microsoft Windows,single-player video game,gamepad
Millipede,Q968020,shoot 'em up,ZX Spectrum; arcade video game machine; Nintendo Entertainment System; Atari 2600,,trackball
X-COM: Enforcer,Q968045,third-person shooter,Microsoft Windows,multiplayer video game; single-player video game,
Wild Gunman,Q968105,light-gun shooter,Nintendo Entertainment System,single-player video game,light gun
Grid 2,Q968138,racing video game,Xbox 360; Microsoft Windows; PlayStation 3,multiplayer video game; single-player video game,
Made Man,Q969184,third-person shooter,PlayStation 2; Microsoft Windows,,
Nemesis 3: The Eve of Destruction,Q969398,shoot 'em up,MSX,single-player video game,game controller
Kyūyaku Megami Tensei,Q969588,role-playing video game,Super Nintendo Entertainment System,,
Titus the Fox,Q969612,platform game,Linux; DOS; macOS; Amstrad CPC; Commodore Amiga; Game Boy; Atari ST; Microsoft Windows; Game Boy Color,single-player video game,computer keyboard
Sonic Generations,Q969764,platform game,PlayStation 3; Microsoft Windows; Xbox 360; Xbox Series X and Series S; Xbox One,single-player video game,gamepad
Hulk,Q969774,action game,PlayStation 2; Nintendo GameCube; Xbox; Microsoft Windows,single-player video game,
Virtual Bart,Q969899,action game,Super Nintendo Entertainment System; Sega Genesis,single-player video game,gamepad
Soccer Kid,Q970101,platform game,Game Boy Advance; DOS; Amiga 1200; Super Nintendo Entertainment System; PlayStation; 3DO Interactive Multiplayer; Microsoft Windows,single-player video game,
The Spiderwick Chronicles,Q970327,action-adventure game; adventure game,PlayStation 2; Xbox 360; Wii; Nintendo DS; Microsoft Windows,multiplayer video game; single-player video game,
Jones in the Fast Lane,Q970426,role-playing video game,DOS; Microsoft Windows,multiplayer video game; single-player video game,
Cruise for a Corpse,Q970794,adventure game,Commodore Amiga; Atari ST; DOS,single-player video game,mouse
Turning Point: Fall of Liberty,Q971046,alternate history video game; first-person shooter,Xbox 360; Microsoft Windows; PlayStation 3,multiplayer video game; single-player video game,
Gargoyle's Quest,Q971188,platform game,Game Boy,single-player video game,
Batman: The Animated Series,Q971338,action game; action-adventure game,Super Nintendo Entertainment System; Game Boy,co-op mode; single-player video game,keyboard; joystick
