video_gameLabel,Entities,genre,platform,gameModes,inputDevice
NASCAR Racing 3,Q6952492,racing video game,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
NASCAR Racing 4,Q6952493,racing video game,Microsoft Windows,multiplayer video game; single-player video game,computer keyboard
NASCAR Revolution,Q6952496,racing video game,Microsoft Windows,multiplayer video game; single-player video game,
NASCAR The Game: 2011,Q6952502,auto racing,PlayStation 3; Xbox 360; Wii,multiplayer video game; single-player video game,
NASCAR Thunder 2002,Q6952506,racing video game,PlayStation 2; Xbox,multiplayer video game; single-player video game,gamepad
NASCAR Unleashed,Q6952509,auto racing,PlayStation 3; Xbox 360; Nintendo 3DS; Wii,,
NBA 06,Q6952641,sports video game,PlayStation 2,multiplayer video game; single-player video game,
NBA 08,Q6952642,sport,PlayStation 3; PlayStation 2,multiplayer video game; single-player video game,
NBA Ballers,Q6952652,basketball video game,PlayStation 2; Xbox,multiplayer video game; single-player video game,
NBA Ballers: Rebound,Q6952654,basketball video game,PlayStation Portable,multiplayer video game; single-player video game,
NBA Ballers: Phenom,Q6952657,basketball video game,PlayStation 2; Xbox,multiplayer video game; single-player video game,
NBA Courtside 2002,Q6952661,sports video game,Nintendo GameCube,multiplayer video game; single-player video game,
NBA Give 'n Go,Q6952668,arcade-style video game; sports video game,Super Nintendo Entertainment System,multiplayer video game; single-player video game,
NBA Hoopz,Q6952673,sports video game,PlayStation 2; Dreamcast,multiplayer video game; single-player video game,
NBA Jam,Q6952676,sports video game,PlayStation 2; Xbox,,
NBA Jam 2000,Q6952680,sport,Nintendo 64,multiplayer video game; single-player video game,
NBA Jam 2002,Q6952681,sport,Game Boy Advance,multiplayer video game; single-player video game,
NBA Jam Extreme,Q6952683,sports video game,Microsoft Windows,multiplayer video game; single-player video game,
NCAA Basketball,Q6952900,sports video game,Super Nintendo Entertainment System,multiplayer video game; single-player video game,
NCAA College Basketball 2K3,Q6952912,sports video game,PlayStation 2; Xbox; Nintendo GameCube,multiplayer video game; single-player video game,
NCAA College Football 2K2: Road to the Rose Bowl,Q6952913,American football video game,Dreamcast,multiplayer video game; single-player video game,
NCAA College Football 2K3,Q6952914,American football video game,PlayStation 2; Xbox; Nintendo GameCube,multiplayer video game; single-player video game,
NCAA Football 11,Q6952957,American football video game,PlayStation 3; iOS; Nintendo DS; PlayStation 2; Xbox 360,multiplayer video game; single-player video game,touchscreen
NCAA Football 13,Q6952958,American football video game,PlayStation 3; Xbox 360,multiplayer video game; single-player video game,
NCAA Football 2005,Q6952960,American football video game,PlayStation 2; Xbox; Nintendo GameCube,multiplayer video game; single-player video game,
NCAA Football 12,Q6952961,American football video game,PlayStation 3; Xbox 360,multiplayer video game; single-player video game,
NEO Shifters,Q6953512,,,,
NEStalgia,Q6953593,role-playing video game,Microsoft Windows,multiplayer video game; single-player video game; co-op mode,
NFL '97,Q6953706,American football video game,Sega Saturn,multiplayer video game; single-player video game,
NFL,Q6953707,American football video game,Android; iOS; Nintendo DS,,touchscreen
NFL Blitz,Q6953711,American football video game,Xbox 360,multiplayer video game; single-player video game,
NFL Challenge,Q6953713,American football video game,DOS,,computer keyboard
NFL Fever 2002,Q6953723,American football video game,Xbox,multiplayer video game; single-player video game,
NFL Prime Time '98,Q6953737,American football video game,Sega Genesis,multiplayer video game; single-player video game,
NFL Quarterback Club 2000,Q6953741,American football video game,Nintendo 64; Dreamcast,multiplayer video game; single-player video game,
NFL QB Club 2001,Q6953742,American football video game,Nintendo 64; Dreamcast,multiplayer video game; single-player video game,
NFL QB Club 2002,Q6953743,American football video game,PlayStation 2; Nintendo GameCube,multiplayer video game; single-player video game,
NFL Quarterback Club 99,Q6953744,American football video game,Nintendo 64,,
NFL Street,Q6953753,American football video game,PlayStation 2; Xbox; Nintendo GameCube,multiplayer video game; single-player video game,
NFL Tour,Q6953759,American football video game,PlayStation 3; Xbox 360,multiplayer video game; single-player video game,gamepad
NFL Xtreme,Q6953763,American football video game,,,
Ninjabread Man,Q7038967,platform game,PlayStation 2; Microsoft Windows; Wii,single-player video game,
Ninjatown,Q7038980,real-time strategy,Nintendo DS,multiplayer video game; single-player video game,
Nintendo DS Digital TV Tuner,Q7039144,,,,
Nintendo PowerFest '94,Q7039169,platform game,Super Nintendo Entertainment System,,
Nirvana Revenge,Q7040132,,,,
Nitto 1320 Legends,Q7041567,racing video game,Microsoft Windows,multiplayer video game,
Inazuma Eleven GO,Q7042103,role-playing video game; association football video game,Nintendo 3DS,multiplayer video game; single-player video game,
NoGravity,Q7043913,shooter game; science fiction video game,Linux,single-player video game,
NoLimits 2 Roller Coaster Simulation,Q7043922,vehicle simulation game; indie game,macOS; Microsoft Windows; Linux,single-player video game,
No Fate! Only the Power of Will,Q7044183,visual novel,Xbox 360,single-player video game,
No Good Gofers,Q7044237,,PlayStation 3; PlayStation 4; PlayStation Vita; Microsoft Windows; Android; Xbox 360,,
No More Heroes: Heroes' Paradise,Q7044536,action-adventure game,PlayStation 3; Xbox 360,single-player video game,
No More Room in Hell,Q7044574,survival horror; indie game; first-person shooter,Microsoft Windows; Linux,multiplayer video game; single-player video game; co-op mode,gamepad; mouse; computer keyboard
No Rules: Get Phat,Q7044930,action game,Game Boy Advance,single-player video game,
Nobby the Aardvark,Q7045614,platform game,Commodore 64,single-player video game,
Noble Ape,Q7045698,,macOS; Microsoft Windows; Linux,,
Noctropolis,Q7046447,adventure game,DOS; macOS; Microsoft Windows; Linux,single-player video game,
Nocturnal Illusion,Q7046504,visual novel; eroge; video game with LGBT character; fantasy; mystery fiction; graphic adventure game,Microsoft Windows,single-player video game,mouse; computer keyboard
