video_gameLabel,Entities,genre,platform,gameModes,inputDevice
Civilization III,Q2374,turn-based strategy video game; simulation video game; grand strategy wargame; strategy video game; 4X,Microsoft Windows; macOS; Classic Mac OS,hotseat; single-player video game; multiplayer video game,mouse; computer keyboard
Civilization IV,Q2377,4X; grand strategy wargame; turn-based strategy video game,Microsoft Windows; macOS; Classic Mac OS,co-op mode; single-player video game; multiplayer video game; multiplayer online game,mouse; computer keyboard
Civilization V,Q2385,4X; turn-based strategy video game,Microsoft Windows; Linux; macOS,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard
Commandos 2: Men of Courage,Q2387,real-time tactics; multiple perspectives role-playing,Microsoft Windows; PlayStation 2; macOS; Xbox,co-op mode; single-player video game; multiplayer video game,computer keyboard
Freedom Force vs the 3rd Reich,Q2440,tactical role-playing game; real-time tactics,Microsoft Windows,single-player video game; multiplayer video game,
Need for Speed: Shift,Q4104,racing video game,Windows Mobile; Android; Xbox 360; Microsoft Windows; iOS; PlayStation Portable; Symbian; PlayStation 3,single-player video game; multiplayer video game,computer keyboard; touchscreen
VVVVVV,Q5766,indie game; puzzle-platformer,PlayStation Vita; Ouya; Nintendo 3DS; Android; Linux; Microsoft Windows; iOS; Nintendo Switch; Commodore 64; PlayStation 4; macOS; Pandora,co-op mode; single-player video game,computer keyboard; gamepad; touchscreen
100 Bullets,Q8529,action game,Xbox; Wii; Xbox 360; PlayStation 2; PlayStation Portable; Game Boy Advance; PlayStation 3; Nintendo DS,,
Super Mario Bros.,Q11168,2D platform game,Nintendo Entertainment System,single-player video game; two-player video game,gamepad
Donkey Kong,Q12384,platform game,DOS; ColecoVision; Commodore VIC-20; IBM Personal Computer; Amstrad CPC; Commodore Amiga; Intellivision; Apple II; Atari 7800; Coleco; Texas Instruments TI-99/4A; Game & Watch series; Nintendo Entertainment System; Atari 2600; Nintendo e-Reader; Family Computer Disk System; Game Boy Advance; Commodore 64; Atari 8-bit family; ZX Spectrum; arcade video game machine; MSX,single-player video game; multiplayer video game,joystick
The Legend of Zelda,Q12395,action-adventure game,Nintendo Entertainment System; Family Computer Disk System,single-player video game,
Death to Spies,Q13165,stealth game; third-person shooter; shooter game,Microsoft Windows,single-player video game,
Stronghold: Crusader Extreme,Q13699,real-time strategy; simulation video game,Microsoft Windows,single-player video game,computer keyboard
Uncharted 3: Drake's Deception,Q17138,action-adventure game; third-person shooter; platform game,PlayStation 3,co-op mode; player versus player; single-player video game; multiplayer video game,DualShock 3
Uncharted 2: Among Thieves,Q17146,action-adventure game; third-person shooter; platform game,PlayStation 3; PlayStation 4,single-player video game; multiplayer video game,DualShock 4; DualShock 3
Uncharted: Drake's Fortune,Q17150,action-adventure game; third-person shooter; platform game,PlayStation 3,single-player video game,DualShock 3
Grand Theft Auto V,Q17452,action-adventure game; third-person shooter; first-person shooter,PlayStation 5; Xbox 360; Microsoft Windows; Xbox One; PlayStation 3; Xbox Series X and Series S; PlayStation 4,co-op mode; player versus player; single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Spectromancer,Q17724,card video game; fantasy video game; turn-based strategy video game,Microsoft Windows; iOS,hotseat; single-player video game; multiplayer video game,mouse; computer keyboard; touchscreen
Wolfenstein 3D,Q18940,first-person shooter,Apple II series; IBM Personal Computer; Xbox 360; Atari Jaguar; Microsoft Windows; PlayStation 3; Atari TOS; Super Nintendo Entertainment System; Apple IIGS; MorphOS; iOS; MS-DOS; NEC PC-9800 series; 3DO Interactive Multiplayer; Classic Mac OS; Xbox; Android; Game Boy Advance; Amiga 1200; RISC OS; AmigaOS; Acorn Archimedes; Linux; Pocket PC; Atari ST,single-player video game,mouse; computer keyboard; joystick; touchscreen
Half-Life 2: Episode One,Q18951,science fiction video game; first-person shooter,Linux; Xbox 360; Microsoft Windows; PlayStation 3; macOS,single-player video game,mouse
Rappelz,Q19419,fantasy video game,Microsoft Windows,multiplayer video game,computer keyboard
"Grand Theft Auto: London, 1961",Q19433,shoot 'em up; action-adventure game,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
Empire Earth,Q20420,strategy video game; real-time strategy,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
Amnesia: The Dark Descent,Q22986,psychological horror; indie game,Microsoft Windows; Linux; macOS,single-player video game,
Magicland Dizzy,Q23911,platform game; adventure game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Atari ST,single-player video game,
Gunvalkyrie,Q23992,science fiction video game; third-person shooter,Xbox,single-player video game,gamepad
MotorStorm: Arctic Edge,Q24071,racing video game,PlayStation 2; PlayStation Portable,single-player video game; multiplayer video game,gamepad
FinnWars,Q24076,first-person shooter,Microsoft Windows; macOS,multiplayer video game,computer keyboard
Doki! Doki! Yūenchi: Crazy Land Daisakusen,Q24170,action game,Nintendo Entertainment System,single-player video game,
InFamous 2,Q24300,science fiction video game; action-adventure game,PlayStation 3,single-player video game,DualShock
Fire Emblem: New Mystery of the Emblem,Q24516,tactical role-playing game,Nintendo DS,single-player video game; multiplayer video game,
Guardian Cross,Q25680,card video game,Android; iOS,single-player video game; multiplayer video game,touchscreen
DC Universe Online,Q27107,massively multiplayer online role-playing game,Microsoft Windows; Nintendo Switch; PlayStation 3; PlayStation 4,co-op mode; multiplayer video game,
Bio Miracle Bokutte Upa,Q27296,platform game,Nintendo Entertainment System; Family Computer Disk System,single-player video game,
Army Men: RTS,Q28226,real-time strategy,Microsoft Windows; PlayStation 2; Nintendo GameCube,single-player video game; multiplayer video game,
Restricted Area,Q28258,action role-playing game,Microsoft Windows,single-player video game,mouse
Guardians,Q28276,beat 'em up,arcade video game machine,co-op mode; single-player video game,
Cossacks II: Napoleonic Wars,Q28362,real-time tactics; real-time strategy,Microsoft Windows,single-player video game; multiplayer video game,
Cossacks: European Wars,Q28418,real-time strategy,Microsoft Windows,single-player video game; multiplayer video game,mouse
Superman,Q29715,action-adventure game,Atari 2600,single-player video game,
Wind: A Breath of Heart,Q31332,harem; drama anime and manga; school anime and manga; eroge; visual novel; romance anime and manga,Microsoft Windows; PlayStation 2; Dreamcast,,
Forza Motorsport 4,Q31560,sim racing,Xbox 360,single-player video game; multiplayer video game,gamepad
Spore Hero Arena,Q31685,life simulation game,Nintendo DS,single-player video game; multiplayer video game,
Age of Empires II: The Age of Kings,Q34852,real-time strategy,Microsoft Windows; PlayStation 2,single-player video game; multiplayer video game,mouse; computer keyboard
Age of Empires III,Q34869,real-time strategy,Microsoft Windows; N-Gage; Windows Mobile; macOS,single-player video game; multiplayer video game,mouse; computer keyboard
Age of Empires Online,Q34920,massively multiplayer online real-time strategy game,Microsoft Windows,multiplayer video game,computer keyboard
Sonic the Hedgehog 2,Q35407,platform game,Sega Master System; Game Gear,single-player video game,
Sonic the Hedgehog 2,Q35627,platform game,Nintendo 3DS; Xbox; Virtual Console; Android; Linux; Xbox 360; Microsoft Windows; Sega Genesis; PlayStation 2; mobile phone; iOS; Windows Phone; Nintendo Switch; Nintendo DS; arcade video game machine; macOS; Nintendo GameCube,co-op mode; single-player video game,gamepad; touchscreen
Sonic the Hedgehog,Q37115,platform game,Sega Master System; Game Gear,single-player video game,
Sonic the Hedgehog,Q37123,platform game,"Nintendo 3DS; BlackBerry; Xbox 360; Microsoft Windows; mobile phone; Amazon Fire TV; Nintendo Switch; PlayStation 3; Java Platform, Micro Edition; Apple TV; Sega Genesis; Xbox One; iOS; PlayStation Portable; Dreamcast; macOS; PlayStation 4; Xbox; Android; PlayStation 2; Game Boy Advance; Nintendo GameCube; Wii; Sega Saturn; Linux; Nintendo DS; arcade video game machine",single-player video game,mouse; computer keyboard; gamepad; touchscreen
Pekka the Rooster 2,Q37229,platform game; indie game,Microsoft Windows; Android,single-player video game,
Assassin's Creed III,Q40166,stealth game; action-adventure game,"Xbox 360; Microsoft Windows; Xbox One; Nintendo Switch; PlayStation 3; Java Platform, Micro Edition; Wii U; PlayStation 4",co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Sonic & Knuckles,Q40177,platform game,Wii; Xbox; Sega Saturn; Linux; Xbox 360; Microsoft Windows; Sega Genesis; PlayStation 2; PlayStation 3; macOS; Nintendo GameCube,single-player video game,gamepad
Sly Cooper and the Thievius Raccoonus,Q40627,stealth game; platform game,PlayStation Vita; PlayStation 2; PlayStation 3,single-player video game,DualShock 2
James Pond 2: Codename: RoboCod,Q44346,Christmas video game; platform game,DOS; Super Nintendo Entertainment System; Acorn Archimedes; Sega Master System; Sega Genesis; PlayStation 2; PlayStation; Game Boy Advance; Commodore 64; Amiga 1200; Nintendo Switch; Atari ST,single-player video game,
Nintendo Land,Q44373,party video game,Wii U,single-player video game; multiplayer video game,
Animal Crossing: New Leaf,Q44462,Christmas video game; life simulation game,Nintendo 3DS,single-player video game; multiplayer video game,stylus
Stronghold,Q44896,real-time strategy; city-building game,MS-DOS,single-player video game,computer keyboard
Halo 4,Q45028,first-person shooter,Xbox One; Xbox 360,single-player video game; multiplayer video game,gamepad
AntMe!,Q48251,serious game,Microsoft Windows,,
Curiosity – What's Inside the Cube?,Q48721,massively multiplayer online game,Android; iOS,multiplayer video game,touchscreen
The Elder Scrolls IV: Oblivion,Q49607,action role-playing game; role-playing video game,Xbox 360; Microsoft Windows; personal computer; mobile phone; PlayStation 3,single-player video game,mouse; computer keyboard; gamepad
Minecraft,Q49740,sandbox game; action-adventure game; survival game,Java Virtual Machine; Ouya; New Nintendo 3DS; Xbox 360; Microsoft Windows; ChromeOS; Nintendo Switch; PlayStation 3; PlayStation Vita; Xbox One; iOS; Kindle Fire HD; Windows Phone; macOS; PlayStation 4; Android; Wii U; Linux; Raspberry Pi,single-player video game; multiplayer video game,computer keyboard; game controller; touchscreen; mouse; joystick
Star Heritage 1: The Black Cobra,Q52053,indie game; adventure game,Microsoft Windows; personal computer; ZX Spectrum; Game Boy Color,single-player video game,
The Neverhood,Q52058,adventure game,Microsoft Windows; PlayStation,single-player video game,mouse
Star Wars: Rogue Squadron,Q54297,action game; shooter game,Microsoft Windows; Nintendo 64,single-player video game,gamepad
Star Wars Rogue Squadron III: Rebel Strike,Q54304,action game,Nintendo GameCube,co-op mode; single-player video game; multiplayer video game,
Star Wars Rogue Squadron II: Rogue Leader,Q54307,action game,Nintendo GameCube,single-player video game,gamepad
Star Wars,Q54317,shoot 'em up,Atari 2600; DOS; Atari 5200; BBC Micro; ColecoVision; Amstrad CPC; ZX Spectrum; Commodore Amiga; Acorn Electron; Commodore 64; Atari ST; arcade video game machine,single-player video game,
Star Wars,Q54319,action game; platform game,Nintendo Entertainment System,single-player video game,
Star Wars,Q54320,two-dimensional space; platform game,Nintendo Entertainment System; Game Boy; Sega Master System; Game Gear,single-player video game,
Super Star Wars,Q54322,platform game,PlayStation Vita; Super Nintendo Entertainment System; PlayStation 4; Wii,single-player video game,
Star Wars Arcade,Q54323,shoot 'em up; action game,arcade video game machine; Sega 32X,single-player video game; multiplayer video game,joystick
The Empire Strikes Back,Q54325,shoot 'em up,Atari 2600; Intellivision,single-player video game; multiplayer video game,joystick
Star Wars: The Empire Strikes Back,Q54327,shoot 'em up,Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Atari ST; arcade video game machine,single-player video game,
